"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","Update account returns User updated","","2026-03-17","passed","2026-03-17","","","",""
"","89","Verify login with missing email returns 400","","2026-03-17","passed","2026-03-17","","","",""
"","81","PUT to brandsList returns 405","","2026-03-17","passed","2026-03-17","","","",""
"","325","Get all products returns 200 and non-empty list","","2026-03-17","passed","2026-03-17","","","",""
"","1760","User searches for a product and sees results","","2026-03-17","failed","2026-03-17","","","",""
"","2684","User logs in with valid credentials","","2026-03-17","passed","2026-03-17","","","",""
"","1183","User sees error with invalid credentials","","2026-03-17","passed","2026-03-17","","","",""
"","3313","User removes a product from the cart","","2026-03-17","passed","2026-03-17","","","",""
"","331","Delete account returns Account deleted","","2026-03-17","passed","2026-03-17","","","",""
"","193","Get user detail by email returns user object","","2026-03-17","passed","2026-03-17","","","",""
"","169","Create new account returns User created","","2026-03-17","passed","2026-03-17","","","",""
"","104","Verify login with valid credentials returns User exists","","2026-03-17","passed","2026-03-17","","","",""
"","4149","New user registers successfully","","2026-03-17","passed","2026-03-17","","","",""
"","97","Verify login with invalid credentials returns User not found","","2026-03-17","passed","2026-03-17","","","",""
"","110","Get all brands returns 200 and non-empty list","","2026-03-17","passed","2026-03-17","","","",""
"","206","Search product with valid keyword returns matching results","","2026-03-17","passed","2026-03-17","","","",""
"","93","Search product with missing parameter returns 400","","2026-03-17","passed","2026-03-17","","","",""
"","103","Verify login with missing password returns 400","","2026-03-17","passed","2026-03-17","","","",""
"","82","POST to productsList returns 405","","2026-03-17","passed","2026-03-17","","","",""
"","2715","User adds a product to the cart","","2026-03-17","passed","2026-03-17","","","",""
